component	chapter	code	kind	preferred	description	inclusions	exclusions	depth
D	R	RD03.00	infection	Acute sinusitis	Recent onset and/or short duration inflammation of the mucosa in one or more of the paranasal sinuses (maxillary, ethmoid, frontal and sphenoid) arising from infection or other causes such as caries or injury to the teeth. Purulent discharge can be seen at the middle meatus and olfactory cleavage and patients complain of dysosmia, stuffy nose, fever, or localised tenderness or pain.			1
D	R	RD03.01	infection	Chronic sinusitis	Sinusitis is an inflammation of the mucosal lining of the paranasal sinuses secondary to both infectious and allergic mechanisms. The retention of sinus secretions is the most important event in the development of sinusitis. This creates a favourable milieu for the growth of infection agents and may be caused by the obstruction or narrowing of sinus ostia, mucociliary dysfunction and changes in mucus composition. 90% of sinus infections involve the maxillary sinus. Chronic sinusitis refers to symptom duration lasting 3 months or more. Diagnosis of sinusitis is based on past history and physical examination findings.			1
D	R	RD04	infection	Acute tonsillitis	Acute tonsillitis is characterised by sore throat or fever with reddening of tonsil(s) more than the posterior pharyngeal wall, and either pus on swollen tonsil(s) or enlarged tender regional lymph node. Strep throat is an acute inflammation of the throat, plus demonstration of beta-haemolytic streptococci.		diphtheria RD10;erysipelas/strep skin infection SD16;hypertrophy/chronic infection of tonsils RD66;infectious mononucleosis AD04;scarlet fever AD24	0
D	R	RD04.00	infection	Peritonsillar abscess	Peritonsillar abscess is defined with abscess formation between the tonsillar capsule and the tonsillar constrictor muscles. Peritonsillar abscess mostly comes from peritonsillitis. Fever rise, pharyngeal pain and swallowing pain are the main symptoms, but, it also causes a muffled voice. Uvula is deviated to the unaffected side and swelling and redness around the affected tonsil is remarkable. Bacterial examination from the peritonsillar pus often reveal streptococcus group A beta-haemolytic as the aerobic bacteria and the detection rate of anaerobic bacteria also amounted to more than half. The treatment consists of antimicrobial therapy and incision and drainage of the abscess. The symptoms improve with above treatment in the most cases, while in some cases the abscess proceeds to a deadly deep neck infection and mediastinal abscess. If there are systemic complications such as diabetes mellitus, special attention is required.			1
D	R	RD04.01	infection	Streptococcal throat	A disease of the pharynx, caused by an infection with the gram-positive bacteria Streptococcus pyogenes. This disease is characterised by fever, sore throat, tonsillar exudates, or large cervical lymph nodes. Transmission is commonly by inhalation of infected respiratory secretions, or indirect contact. Confirmation is by identification of Streptococcus pyogenes from a throat swab.			1
D	R	RD05	infection	Acute (obstructive) laryngitis or tracheitis or both	Acute laryngitis and tracheitis are defined respectively as acute inflammation of larynx and trachea, with local findings of erythema, and edema of laryngeal and tracheal mucosa. Acute laryngitis and tracheitis are induced by upper respiratory tract viral infections or voice abuse.		epiglottitis RD10;false croup (laryngeal spasm) RD99	0
D	R	RD05.00	infection	Acute subglottis laryngitis	A condition commonly caused by an acute viral infection of the upper airway. This condition is characterised by a barking cough, stridor, hoarseness, or difficulty breathing. Transmission is commonly by inhalation of infected respiratory secretions.			1
D	R	RD06	infection	Acute bronchitis or bronchiolitis or both	1. Acute bronchitis is an acute disease of the bronchi, commonly caused by an infection with a bacterial or viral source. This disease is characterised by inflammation of the bronchi and presents with cough, wheezing, chest pain or discomfort, fever, or dyspnoea. Transmission is by inhalation of infected respiratory secretions. 2. Bronchiolitis is an acute disease of the bronchioles, commonly caused by an infection with a bacteria or viral source. This disease is characterised by inflammation of the bronchioles and coryza and presents with cough, wheezing, tachypnoea, fever, or chest retraction. In children and adults the disease is characterised by cough and fever with scattered or generalized abnormal chest signs: wheeze, coarse rales, rhonchi or moist sounds; in infants (bronchiolitis): dyspnoea and hyperinflation.	acute lower respiratory infection;bronchitis;chest infection;tracheobronchitis	allergic bronchitis RD69;chronic bronchitis RD67;influenza RD07	0
D	R	RD06.00	infection	Acute bronchitis	An acute disease of the bronchi, commonly caused by an infection with a bacterial or viral source. This disease is characterised by inflammation of the bronchi. This disease presents with cough, wheezing, chest pain or discomfort, fever, or dyspnoea. Transmission is by inhalation of infected respiratory secretions.			1
D	R	RD06.01	infection	Acute bronchiolitis	An acute disease of the bronchioles, commonly caused by an infection with a bacteria or viral source. This disease is characterised by inflammation of the bronchioles and coryza. This disease presents with cough, wheezing, tachypnoea, fever, or chest retraction			1
D	R	RD07	infection	Influenza	Influenza is characterised by myalgia and cough without abnormal respiratory physical signs other than inflammation of nasal mucous membrane and throat, plus three or more of the following: sudden onset (within 12 hours); rigors/chills/fever; prostration and weakness; influenza in close contacts; influenza epidemic; or viral culture/serological evidence of influenza virus infection.	influenza-like illness;para-influenza	gastric flu DD05;influenza pneumonia RD09	0
D	R	RD08	infection	Coronavirus disease 2019 (COVID-19)				0
D	R	RD08.00	infection	Long COVID-19	Post COVID-19 condition occurs in individuals with a history of probable or confirmed SARS CoV-2 infection, usually 3 months from the onset of COVID-19 with symptoms and that last for at least 2 months and cannot be explained by an alternative diagnosis. Common symptoms include fatigue, shortness of breath, cognitive dysfunction but also others and generally have an impact on everyday functioning. Symptoms may be new onset following initial recovery from an acute COVID-19 episode or persist from the initial illness. Symptoms may also fluctuate or relapse over time.			1
D	R	RD09	infection	Pneumonia	A disease of the lungs, frequently but not always caused by an infection with bacteria, virus, fungus, or parasite. This disease is characterised by fever, chills, cough with sputum production, chest pain and shortness of breath.	bacterial pneumonia;bronchopneumonia;influenzal pneumonia;viral pneumonia	aspiration pneumonia RD99	0
D	R	RD09.00	infection	Legionella pneumonia	Legionnaires’ disease, the pneumonic form, has an incubation period of 2 to 10 days (but up to 16 days has been recorded in some outbreaks). Initially, symptoms are fever, loss of appetite, headache, malaise and lethargy. Some patients may also have muscle pain, diarrhoea and confusion. There is also usually an initial mild cough, but as many as 50% of patients can present phlegm. Blood-streaked phlegm or hemoptysis occurs in about one-third of the patients. The severity of disease ranges from a mild cough to a rapidly fatal pneumonia. Death occurs through progressive pneumonia with respiratory failure and/or shock and multi-organ failure.			1
D	R	RD10	infection	Other specified or unknown respiratory infection		chronic nasopharyngitis;chronic pharyngitis;chronic rhinitis NOS;empyema;fungal respiratory infection;lung abscess;protozoal infection;unknown respiratory infection		0
D	R	RD10.00	infection	Diphteria	A disease commonly of the respiratory system, caused by an infection of the gram-positive bacteria Corynebacterium diphtheriae. This disease is characterised by sore throat, fever, and a pseudomembrane on the tonsils, pharynx, or nasal cavity. Transmission is by inhalation of infected respiratory secretions, or direct cutaneous contact. Confirmation is by identification of Corynebacterium diphtheriae from a throat swab or infected tissue, and by clinical signs.			1
D	R	RD10.01	infection	Epiglottitis	Acute epiglottitis is a special type of laryngeal inflammation, being characterised with a local swelling of epiglottis mucosa. This disease is more common in children in western countries, but adult cases are more common in Japan. Haemophilus influenzae type B infection is considered an important causative factor. Particularly in children, rapid exacerbation of dyspnoea can occur a couple of hours after the onset of this disease.			1
D	R	RD10.02	infection	Severe acute respiratory syndrome (SARS)	A disease of the respiratory system, caused by an infection with coronavirus. This disease is characterised by fever, headache, cough, myalgia, tachycardia, or diarrhoea. This disease may also lead to pneumonia. Transmission is by direct contact, inhalation of infected respiratory secretions, or airborne transmission. Confirmation is by identification of coronavirus in a blood, stool, respiratory secretions, or body tissue sample.		coronavirus disease 2019 (COVID-19) RD08;long COVID-19 RD08.00	1
D	R	RD25	neoplasm	Malignant neoplasm bronchus and lung	A characteristic histological appearance of a primary malignant neoplasm in the lung.	malignancy of bronchus;malignancy of lung;malignancy of trachea		0
D	R	RD26	neoplasm	Other specified or unknown respiratory malignant neoplasm	characteristic histological appearance	malignant neoplasm of mediastinum;malignant neoplasm of nose;malignant neoplasm of pleura;malignant neoplasm of sinus; mesothelioma;unknown respiratory malignant neoplasm	Hodgkin's disease BD25;malignancy of trachea/bronchus/lung RD25	0
D	R	RD26.00	neoplasm	Malignant neoplasm of larynx				1
D	R	RD27	neoplasm	Benign neoplasm respiratory	Characteristic clinical or histological appearance		nasal polyp RD99;uncertain or carcinoma in situ neoplasm of respiratory system RD28	0
D	R	RD28	neoplasm	Uncertain or carcinoma in situ neoplasm of respiratory system		respiratory neoplasm not specified as benign or malignant/when histology is not available	benign respiratory neoplasm RD27;malignant neoplasm bronchus/lung RD25;malignant neoplasm respiratory, other RD26;secondary neoplasm unknown site AD25	0
D	R	RD35	trauma	Injury respiratory system		trauma to nose;trauma to respiratory system	drowning AD45;fractured nose LD39;foreign body in respiratory system RD36	0
D	R	RD36	trauma	Foreign body in nose, larynx, bronchus		foreign body in lung	aspiration pneumonia RD99;drowning AD45;foreign body lodged in oesophagus DD36;foreign body in ear HD36	0
D	R	RD55	congenital	Congenital anomaly of respiratory system		congenital abnormality of bronchi;congenital abnormality of larynx;congenital abnormality of lungs;congenital abnormality of nose;congenital abnormality of pharynx;congenital abnormality of pleura;congenital abnormality of trachea	cleft lip/palate DD55;cystic fibrosis TD99	0
D	R	RD65	otherDiagnosis	Allergic rhinitis	Rhinitis is inflammation of the nasal mucosa clinically characterised by major symptoms: sneezing, nasal pruritus, running nose, and stuffy nose. Allergic rhinitis is an inflammation of nasal airway triggered by allergens to which the affected individual has previously been sensitized.	allergic;hay fever;nasal allergy;pollen;seasonal;vasomotor rhinitis	chronic rhinitis NOS RD10;upper respiratory tract infection RD02	0
D	R	RD66	otherDiagnosis	Hypertrophy tonsils or adenoids or both	Any persistent or recurrent disease affecting the round-to-oval mass of lymphoid tissue embedded in the lateral wall of the pharynx (tonsils) or the collection of lymphoid nodules on the posterior wall and roof of the nasopharynx (adenoids) resulting in enlargement of the tonsils or adenoids or both. (ICD-11)	chronic tonsillitis	acute tonsillitis RD04;allergic rhinitis RD65	0
D	R	RD66.00	otherDiagnosis	Hypertrophy of adenoids	An obstructive condition related to an increased size of the adenoids			1
D	R	RD66.01	otherDiagnosis	Hypertrophy of tonsils		chronic tonsillitis		1
D	R	RD66.02	otherDiagnosis	Hypertrophy of tonsils and adenoids	"An excessive growth (""hypertrophy"") of the tissue of tonsils and adenoids."			1
D	R	RD67	otherDiagnosis	Chronic bronchitis	Chronic bronchitis is an unspecified chronic inflammation of the bronchi (medium-size airways) in the lungs, causing a persistent cough that produces sputum (phlegm) and mucus, for at least three months per year in two consecutive years.		emphysema/chronic obstructive pulmonary (lung, airways) disease RD68;bronchiectasis RD99	0
D	R	RD68	otherDiagnosis	Chronic obstructive pulmonary disease and emphysema	Chronic obstructive pulmonary disease (COPD), a common preventable and treatable disease, is characterised by persistent airflow limitation that is usually progressive and associated with an enhanced chronic inflammatory response in the airways and the lung to noxious particles or gases. Exacerbations and comorbidities contribute to the overall severity in individual patients. Emphysema is defined by abnormal and permanent enlargement of the airspaces that are distal to the terminal bronchioles. This is accompanied by destruction of the airspace walls, without obvious fibrosis (i.e. there is no fibrosis visible to the naked eye). Emphysema can exist in individuals who do not have airflow obstruction; however, it is more common among patients who have moderate or severe airflow obstruction.	chronic airways limitation (CAL);chronic obstructive airways disease (COAD);chronic obstructive lung disease (COLD);chronic obstructive pulmonary disease (COPD);emphysema	asthma RD69;bronchiectasis RD99;chronic bronchitis RD67;cystic fibrosis RD99	0
D	R	RD69	otherDiagnosis	Asthma	Asthma is characterised by recurrent episodes of reversible acute bronchial obstruction with wheeze/dry cough or diagnostic test meeting currently accepted criteria for asthma.	reactive airways disease;wheezy bronchitis	bronchiolitis RD06;chronic bronchitis RD67;emphysema RD68	0
D	R	RD69.00	otherDiagnosis	Allergic asthma	Allergic asthma is the most easily recognised asthma phenotype, which often commences in childhood and is associated with a past and/or family history of allergic disease such as eczema, allergic rhinitis, or food or drug allergy.			1
D	R	RD70	otherDiagnosis	Lung disease related to external agents		pneumonitis due to allergy;pneumonitis due to chemicals;pneumonitis due to dust;pneumonitis due to fumes;pneumonitis due to mould	air pollution AD45	0
D	R	RD70.00	otherDiagnosis	Pneumoconiosis	Pneumoconiosis is a lung disease due to inhalation of minute particles and characterised pathologically by interstitial fibrosis. The different types of pneumoconiosis vary in relation to the types of inhaled particles, often accompanied by certain occupational environments.			1
D	R	RD70.01	otherDiagnosis	Vaping related disorder	Disorder resulting from inhaling a vaporized solution (aerosol) which frequently contains flavourants, usually dissolved into Propylene Glycol or Glycerin, or both, and may or may not contain doses of nicotine, and other substances and additives with the use of electronic nicotine delivery systems (ENDS) or electronic non-nicotine delivery systems (ENNDS).			1
D	R	RD99	otherDiagnosis	Other specified or unknown diagnoses and diseases of respiratory system		lung complication of other disease;mediastinal disease;other disease of larynx;pulmonary collapse	sarcoidosis BD99	0
D	R	RD99.00	otherDiagnosis	Aspiration pneumonia	Acute inflammation of the lung parenchyma due to inadvertent passage of ingested solids or liquids into the airway from swallowing dysfunction or after an acute vomiting or gastroesophageal reflux episode.			1
D	R	RD99.01	otherDiagnosis	Bronchiectasis	Bronchiectasis is an abnormal widening of one or more airways. Normally, tiny glands in the lining of the airways make a small amount of mucus. Mucus keeps the airways moist and traps any dust and dirt in the inhaled air. Because bronchiectasis creates an abnormal widening of the airways, extra mucus tends to form and pool in parts of the widened airways. Widened airways with extra mucus are prone to infection.			1
D	R	RD99.02	otherDiagnosis	Cystic fibrosis	Cystic fibrosis (CF) is a genetic disorder characterised by the production of sweat with a high salt content and mucus secretions with an abnormal viscosity. The disease is chronic and generally progressive, with onset usually occurring during early childhood or, occasionally, at birth (meconium ileus). Virtually any internal organ may be involved but the principle manifestations concern the breathing apparatus (chronic bronchitis), pancreas (pancreatic insufficiency, adolescent diabetes and occasionally pancreatitis) and, more rarely, the intestine (stercoral obstruction) or liver (cirrhosis). The usual presenting symptoms and signs include persistent pulmonary infection, pancreatic insufficiency, and elevated sweat chloride levels.			1
D	R	RD99.03	otherDiagnosis	Deviated nasal septum				1
D	R	RD99.04	otherDiagnosis	Pneumothorax	Pneumothorax is an abnormal collection of air or gas in the pleural space that separates the lung from the chest wall, and that may interfere with normal breathing.			1
D	R	RD99.05	otherDiagnosis	Polyp of nasal cavity	Nasal polyp is an inflammatory and proliferating mass arising from the epithelial linings of nasal cavity and paranasal sinuses. In general, nasal polyp appears to be greyish white, smoothly surfaced, and glutinous and agar-like mass.			1
D	R	RD99.06	otherDiagnosis	Polyp of vocal cord	A polyp is an abnormal growth of tissue projecting from a mucous membrane, in this condition it is of the vocal cord.	nodules of vocal cords		1
D	R	RD99.07	otherDiagnosis	Respiratory failure	Respiratory failure is a life-threatening impairment of oxygenation or CO2 elimination. Respiratory failure may occur because of impaired gas exchange, decreased ventilation, or both. The level of oxygen in the blood becomes dangerously low or the level of carbon dioxide becomes dangerously high.			1
D	R	RD99.08	otherDiagnosis	Interstitial lung disease	A diverse group of lung diseases that affect the lung parenchyma. They are characterized by an initial inflammation of pulmonary alveoli that extends to the interstitium and beyond leading to diffuse pulmonary fibrosis. Interstitial lung diseases are classified by their etiology (known or unknown causes), and radiological-pathological features.			1
S	R	RS01	symptom	Pain respiratory system		painful respiration;pleuritic pain;pleurodynia	chest pain AS12;musculoskeletal chest pain LS04;nose pain RS10;sinus pain RS11;sore throat RS12;chest tightness RS99;pleurisy RS50	0
S	R	RS02	symptom	Shortness of breath		orthopnoea	hyperventilation RS04;stridor RS04;wheezing RS03	0
S	R	RS03	symptom	Wheezing	Continuous adventitious sounds that are high-pitched are called wheezes. Wheezes originate in airways narrowed by spasm, thickening of the mucosa, or luminal obstruction.	expiratory wheeze;rhonchi	dyspnoea RS02;hyperventilation RS04;stridor RS04	0
S	R	RS04	symptom	Other specified breathing problem		abnormal breathing;apnoea;holding breath;hyperventilation;inspiratory wheeze;respiratory distress;stridor;tachypnoea		0
S	R	RS05	symptom	Snoring				0
S	R	RS06	symptom	Sleep-related breathing problems				0
S	R	RS06.00	symptom	Sleep apnoea	1. Central sleep apnoeas are characterised by reduction or cessation of airflow due to absent or reduced respiratory effort. Central apnoea (cessation of airflow) or hypopnea (reduction in airflow) may occur in a cyclical or intermittent fashion. Patients with central sleep apnoea of various etiologies may also exhibit obstructive events, in which case diagnoses of both central sleep apnoea and obstructive sleep apnoea may be given. Note: A definitive diagnosis requires objective evidence based on polysomnography. 2. Obstructive sleep apnoea is characterised by repetitive episodes of apnoea or hypopnea that are caused by upper airway obstruction occurring during sleep. These events often result in reductions in blood oxygen saturation and are usually terminated by brief arousals from sleep. Excessive sleepiness is a major presenting complaint in many but not all cases. Reports of insomnia, poor sleep quality, and fatigue are also common. Upper airway resistance syndrome shares the same pathophysiology and should be classified here. In adults (older than 18 years), obstructive sleep apnoea is diagnosed when the frequency of obstructive events (apnoeas, hypopneas or respiratory-event related arousals) is greater than 15 per hour. The disorder may also be diagnosed when the frequency is greater than five per hour and: a) symptoms attributable to the disorder (e.g., sleepiness or sleep disruption) are present; or b) nocturnal respiratory distress or observed apnoea/habitual snoring are reported; or c) when hypertension, a mood disorder, cognitive dysfunction, coronary artery disease, stroke, congestive heart failure, atrial fibrillation, or type 2 diabetes mellitus are present. In children, the disorder is diagnosed when the frequency of obstructive events is great than one per hour, accompanied by signs or symptoms related to the breathing disorder. Note: A definitive diagnosis requires objective evidence based on polysomnography.	central sleep apnoea;obstructive sleep apnoea		1
S	R	RS07	symptom	Cough	Cough is an important natural defensive mechanism and protective reflex for clearing the upper and lower airways of excessive secretions such as mucus and inhaled particles. Cough is a common symptom of most respiratory disorders and may be indicative of trivial to very serious airway or lung pathology.	dry cough;moist cough	abnormal sputum/phlegm RS15	0
S	R	RS08	symptom	Nose bleed or epistaxis				0
S	R	RS09	symptom	Sneezing or nasal congestion		blocked nose;rhinorrhea;running nose		0
S	R	RS10	symptom	Nose symptoms or complaints		pain in nose	anosmia NS08;blocked nose/sneezing RS09;complaint of sinuses RS11;concern with appearance of nose RS91;epistaxis RS08;rhinophyma SD99	0
S	R	RS11	symptom	Sinus symptoms or complaints		blocked sinus;congested sinus;pain/pressure in sinus;post-nasal drip	headache NS01;face pain NS02;nasal congestion RS09	0
S	R	RS12	symptom	Throat symptoms or complaints		dry throat;inflamed throat;red throat;large tonsils;lump in throat;tonsillar pain	tonsillar hypertrophy RD66;voice symptom RS13	0
S	R	RS12.00	symptom	Pain in throat				1
S	R	RS13	symptom	Voice symptoms or complaints		absence of voice;aphonia;hoarseness	neurological disorder of speech NS11;stammering/stuttering NS11;sore throat RS12	0
S	R	RS14	symptom	Haemoptysis or coughing blood				0
S	R	RS15	symptom	Abnormal sputum or phleg			cough with sputum RS07;haemoptysis RS14	0
S	R	RS50	clinicalFinding	Pleurisy or pleural effusion	To classify pleurisy/pleural effusion there should be clinical evidence of pleural exudate or pleuritic pain accompanied by pleural friction rub or investigative evidence of inflammatory pleural exudate.	pleural inflammatory exudate;pleuritis	pneumonia RD09;tuberculosis AD15	0
S	R	RS90	complaint	Concern or fear of disease respiratory system	Concern about/fear of disease in a patient without the disease/until the diagnosis is proven.			0
S	R	RS91	complaint	Concern about appearance of nose		red nose;prominent nose		0
S	R	RS99	symptom	Other specified respiratory symptoms, complaints and abnormal findings		chest tightness;fluid on lung		0
S	R	RS99.00	symptom	Hiccough	Hiccough are repeated involuntary spasms of the diaphragm followed by sudden closure of the glottis, which checks the inflow of air and causes the characteristic sound. Transient episodes are very common. Persistent (more than 2 days) and intractable (more than 1 month) Hiccough are uncommon but quite distressing.			1
S	R	RS99.01	symptom	Irritable airways				1
D	S	SD01	infection	Warts	Common warts are due to an infection of the epidermis by certain human papilloma viruses, most commonly HPV subtypes 1,2,4,27 and 57. They manifest typically as papillomatous, keratinous growths on the hands and feet but may affect any part of the skin (and also adjacent mucous epithelia). They are very common during childhood and adolescence.	plane wart;verrucae	genital warts GD05;molluscum contagiosum SD02	0
D	S	SD02	infection	Molluscum contagiosum	A disease of the skin and mucous membranes, caused by an infection with molluscum contagiosum virus. This disease is characterised by papular skin eruptions, commonly 2-3 millimetres in diameter. Transmission is by direct contact.		warts SD01	0
D	S	SD03	infection	Herpes zoster	Grouped vesicular eruptions, unilateral distribution, normally over area of a single dermatome caused by the reactivation of a latent infection with varicella zoster virus. This disease commonly presents with a rash, cutaneous hyperaesthesia, or fever.	post-herpetic neuralgia SD03.01;shingles		0
D	S	SD03.01	infection	Postherpetic neuralgia	Pain in nerves, frequently involving facial skin, resulting from the activation the latent varicella-zoster virus.			1
D	S	SD04	infection	Herpes simplex	Vesicles with erythematous base in localised area(s); plus past history of similar lesions, or virological or serological evidence.		genital herpes GD03;herpes simplex of eye without corneal ulcer FD03	0
D	S	SD04.00	infection	Herpes (simplex) labialis				1
D	S	SD05	infection	Infected finger or toe		whitlow;abscess of finger;abscess of toe	dermatophytosis SD08;monilia/candida SD10;post-traumatic infection finger/toe SD07	0
D	S	SD05.00	infection	Paronychia	An inflammatory reaction involving the folds of the skin surrounding the fingernail. It is characterized by acute or chronic purulent, tender, and painful swellings of the tissues around the nail, caused by an abscess of the nail fold. The pathogenic yeast causing paronychia is most frequently Candida albicans. Saprophytic fungi may also be involved. The causative bacteria are usually Staphylococcus, Pseudomonas aeruginosa, or Streptococcus.		candidiasis of nails SD11.01	1
D	S	SD05.01	infection	Pulp space infection of finger/thumb				1
D	S	SD05.02	infection	Pulp space infection of toe				1
D	S	SD06	infection	Boil or carbuncle	Single or multiple focal infections of skin and soft tissues most commonly centred on the hair follicle and most commonly due to Staphylococcus aureus.	abscess	boil external auditory meatus HD01;boil female external genitalia GD69;boil male external genitalia GD99;erysipelas SD16;folliculitis SD99;folliculitis barbae SD08;hydradenitis SD73;lymphadenitis BD01;perianal boil DD07;pilonidal abscess SD67;superficial pustular folliculitis SD15	0
D	S	SD06.00	infection	Furuncle	A localised infection of a hair follicle by Staphylococcus aureus. It manifests as a painful swollen purulent mass centred on a hair follicle.	boil abscess nose		1
D	S	SD06.01	infection	Furunculosis	The presence of multiple furuncles, this condition is associated with disorders such as malnutrition and diabetes mellitus.			1
D	S	SD07	infection	Post-traumatic skin infection		infected post-traumatic bite;infected post-traumatic wound	erysipelas, pyoderma SD16;impetigo SD15;surgical wound infection AD42	0
D	S	SD08	infection	Dermatophytosis	Pruritic scaly lesions with central clearing and small vesicles at border; or demonstration of fungus.	fungal skin infection;ringworm;tinea	bacterial folliculitis SD06;folliculitis SD99;pityriasis versicolor SD09;moniliasis/candidiasis SD11;onychomycosis SD10;superficial pustular folliculitis SD15	0
D	S	SD08.00	infection	Tinea pedis	Dermatophytosis of the skin of the foot (tinea pedis). The lateral interdigital toe clefts are the most common initial site of infection. Longstanding infection with Trichophyton rubrum, the most commonly implicated organism in Europe and North America, characteristically causes dry scaling over the sole of the foot.			1
D	S	SD09	infection	Pityriasis versicolor	A disease of the skin, caused by an infection with the fungi Malassezia. This disease is characterised by white, pink, fawn, brown, or often coalescing lesions that may be covered with thin furfuraceous scales. This disease commonly presents on the trunk, shoulders and arms, or neck and face. Transmission is by opportunistic transmission. Confirmation is by identification of Malassezia in a skin sample.			0
D	S	SD10	infection	Onychomycosis	Fungal infection of fingernails and/or toenails due most commonly to dermatophytes tinea unguium or yeast.		Moniliais/candidiasis skin SD11	0
D	S	SD11	infection	Candidiasis skin	Candidiasis is an infection caused by yeasts of the genus Candida. Superficial infections of the mucous membranes and skin are common.	thrush skin	oral thrush DD66;genital candidiasis GD08;onychomycosis SD10	0
D	S	SD11.00	infection	Candida intertrigo		anal candidiasis		1
D	S	SD11.01	infection	Candidiasis of nails				1
D	S	SD11.02	infection	Diaper candidiasis				1
D	S	SD12	infection	Pityriasis rosea	Oval, scaly eruptions along skin tension lines of trunk, with a history of a solitary lesion preceding presenting rash.			0
D	S	SD13	infection	Scabies and other acariasis				0
D	S	SD13.00	infection	Scabies	Scabies: Intense pruritic skin lesions plus arrays of burrows on sides of palms, fingers, penis or skin folds; or demonstration of parasites or ova in lesions. A highly contagious infestation of the skin by the mite Sarcoptes scabiei var. hominis. It may result in epidemics when introduced into institutions such as schools and nursing homes. The mites burrow into the skin, favouring the extremities, genitalia and, in infants, the axillae. The characteristic widespread intensely pruritic papulovesicular rash results largely from the host response rather than directly to burrowing by mites. Where such a response is absent as in immunosuppressed or debilitated patients, unchecked proliferation of mites results in crusted scabies. Sarcoptic mites from other mammals such as dogs may cause a transient pruritic eruption.			1
D	S	SD14	infection	Pediculosis and other skin infestation	Pediculosis refers to parasitic skin diseases caused by animals such as arthropods (i.e. ticks, and lice) and worms, but excluding (except) conditions caused by protozoa, fungi, bacteria, and viruses, which are called infections.	fleas	cutaneous larva migrans DD07.07;infected insect bites SD07;insect bites SD39;scabies SD13.00;mites SD13	0
D	S	SD14.00	infection	Head lice	A condition of the scalp and hair shaft, caused by an infection with the parasite Pediculus humanus capitis. This condition is characterised by pruritus which may lead to sores or thickened discoloured skin. Transmission is by direct or indirect contact with an infected individual or animal. Confirmation is by identification of Pediculus humanus capitis eggs or Pediculus humanus capitis.			1
D	S	SD14.01	infection	Pediculosis pubis	Infestation most commonly of pubic hair and less commonly of body hair or eyelashes by the crab louse, Pthirus pubis. Transmission is by direct, typically sexual contact with an infected individual. Confirmation is by identification of Pthirus pubis or its eggs.	phthiriasis pubis		1
D	S	SD15	infection	Impetigo	Spreading skin lesion consisting of macules, vesicles, pustules or crust with underlying raw area.	impetigo secondary to other dermatosis	bacterial folliculitis SD16;folliculitis SD99;folliculitis barbae SD08	0
D	S	SD16	infection	Other specified or unknown skin infection		acute bacterial lymphangitis;pyoderma;strep skin infection;unknown skin infection	boil/carbuncle SD06;Buruli ulcer AD24;post-traumatic skin infection SD07;impetigo SD15;molluscum contagiosum SD02;acne SD76	0
D	S	SD16.00	infection	Cellulitis	An acute, diffuse, and suppurative inflammation of loose connective tissue, particularly the deep subcutaneous tissues, and sometimes muscle, which is most commonly seen as a result of infection of a wound, ulcer, or other skin lesions.		paronychia SD05.00	1
D	S	SD16.01	infection	Erysipelas	An acute infection of the skin caused by species of streptococcus. This disease most frequently affects infants, young children, and the elderly. Characteristics include pink-to-red lesions that spread rapidly and are warm to the touch. The commonest site of involvement is the face.			1
D	S	SD16.02	infection	Erythrasma	A chronic bacterial infection of major folds of the skin, caused by Corynebacterium minutissimum.			1
D	S	SD16.05	infection	Bacterial folliculitis	Bacterial infection of the follicular ostium manifested as follicular papules and pustules with perifollicular erythema. The most commonly isolated organisms are coagulase-negative staphylococci and Staphylococcus aureus. The infection may be acute but is more commonly subacute or chronic; individual lesions heal without scarring. Commonly affected sites include the scalp, beard area, thighs and buttocks.			1
D	S	SD25	neoplasm	Malignant neoplasm of skin	Characteristic histological appearance.		premalignant lesion of skin SD29	0
D	S	SD25.00	neoplasm	Basal cell carcinoma of skin	Basal cell carcinoma or BCC is the most common malignancy in humans. It is believed that BCCs arise from pluripotential cells in the basal layer of the epidermis or, less commonly, hair follicle. BCCs typically occur in areas of chronic sun exposure and presents as slowly enlarging reddish papules, plaques or nodules on the head and neck, although the superficial variant is often located on the trunk. BCCs frequently ulcerate and become crusted. Although they rarely metastasize, they can cause significant local destruction and disfigurement if neglected or inadequately treated, particularly if of the sclerosing or infiltrative subtype.			1
D	S	SD25.01	neoplasm	Kaposi's sarcoma of skin	A Kaposi sarcoma arising from the skin. It presents with patches, plaques, or nodules.			1
D	S	SD25.02	neoplasm	Malignant melanoma	A primary melanoma arising from atypical melanocytes in the skin. Precursor lesions include acquired and congenital melanocytic nevi, and dysplastic nevi. Several histologic variants have been recognised, including superficial spreading melanoma, acral lentiginous melanoma, nodular melanoma, and lentigo maligna melanoma.			1
D	S	SD25.03	neoplasm	Squamous cell carcinoma of skin	A carcinoma arising from the squamous cells of the epidermis. Skin squamous cell carcinoma is most commonly found on sun-exposed areas. The majority of the tumours are well-differentiated.			1
D	S	SD26	neoplasm	Lipoma	A benign tumor composed of adipose (fatty) tissue.			0
D	S	SD27	neoplasm	Benign melanocytic naevus	A naevus containing melanin.		congenital skin anomaly SD55;spider naevus KS99;strawberry naevus SD55	0
